"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/13 12:55:45 PM GMT+1","50 - 59","News Websites;Social Media Platforms","Yes","Often","Sometimes","No"
"2020/05/13 12:57:48 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:00:57 PM GMT+1","18 - 29","Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:05:23 PM GMT+1","18 - 29","Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:06:36 PM GMT+1","18 - 29","Music Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 1:07:49 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 1:09:44 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 1:11:33 PM GMT+1","18 - 29","Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 1:12:59 PM GMT+1","18 - 29","E-Commerce Websites","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:27:28 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites","Yes","Often","Often","Yes, providing I know that my data is safe"
"2020/05/13 1:30:26 PM GMT+1","18 - 29","E-Commerce Websites","Yes","Sometimes","Sometimes","No"
"2020/05/13 1:30:27 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:38:47 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:39:28 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:42:50 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 1:46:43 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
